tx_id,date,sender_address,receiver_address,moniker,token,amount,fee_token,fee_amount,test
790769E49399CB02FD02A54906171BE683859BE68FC92E0A49E733B9A36881E2,2022-12-31 09:52:43 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper18vnm040mwk0d6plc60v5m9h2376gkcphknuwzs,Prism Protocol | Delegate for airdrop,uluna,200,uluna,700,false
790769E49399CB02FD02A54906171BE683859BE68FC92E0A49E733B9A36881E2,2022-12-31 09:52:43 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Prism Protocol | Delegate for airdrop,uluna,900,uluna,250,false
6FA9955ECA8EE598F9A5C65CBEB65EE7143283523E0055510A03C1064627B80F,2022-12-31 09:52:26 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1cqc26lnatzxvu0z5nd4yx8m4ecllkm7jlakwrw,CAPAPULT,uluna,0,uluna,0,false
6FA9955ECA8EE598F9A5C65CBEB65EE7143283523E0055510A03C1064627B80F,2022-12-31 09:52:26 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,CAPAPULT,uluna,0,uluna,0,false
79949AD54D709568F745D0B75B452F16E94F69D0AF5251AA9E7EB1827C24A230,2022-12-31 09:40:15 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,coinhall.org,uluna,900,uluna,250,false
79949AD54D709568F745D0B75B452F16E94F69D0AF5251AA9E7EB1827C24A230,2022-12-31 09:40:15 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1ge3vqn6cjkk2xkfwpg5ussjwxvahs2f6at87yp,coinhall.org,uluna,200,uluna,700,false
BB74DA282248104A170EF4096CE82B0553386E0C0A59F75F0D137DF153E52468,2022-12-31 09:40:09 -0500 EST,terra1732dz907t7080du426zqtscxhqzzzlwt0hjsu4,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy," WhisperNode🤐 | REStake + 100% MEV to Stakers 💵",uluna,35342,uluna,3000,false
BB74DA282248104A170EF4096CE82B0553386E0C0A59F75F0D137DF153E52468,2022-12-31 09:40:09 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1pwum4swah9t5mjynalk3f334v4ztxc66k29v25," WhisperNode🤐 | REStake + 100% MEV to Stakers 💵",uluna,17421,uluna,17921,false
21B0E87C997125FC62D6C6D7274F230E33DAC4E9D3B4F49173A890FD2FBC8883,2022-12-31 09:36:45 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1hr7svdp2rga9vf3ry95sx7g5wyspgwmg96vqg5,PFC - Panama Flower Company,uluna,69,uluna,531,false
21B0E87C997125FC62D6C6D7274F230E33DAC4E9D3B4F49173A890FD2FBC8883,2022-12-31 09:36:45 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,PFC - Panama Flower Company,uluna,600,uluna,250,false
6D41F786D99BBE8B2D889E8534DD5008CB4F8BC006A882649F9D421EC69A5A8D,2022-12-31 09:35:51 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1wwq9mfkkqfta334d4hcjrjau9y50a4hw37zhdl,StakeWithUs,uluna,4,uluna,896,false
6D41F786D99BBE8B2D889E8534DD5008CB4F8BC006A882649F9D421EC69A5A8D,2022-12-31 09:35:51 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,StakeWithUs,uluna,900,uluna,250,false
BDDEACCFDDEC4C90CFAD435DAAA8F0506A2084042AEE9501E4E25F5F1FDC50EB,2022-12-31 09:29:30 -0500 EST,terra1m7ksq9y7j6hycczv2kdsy6wrplrqppesmcv5zm,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Luna Station 88,uluna,5669,uluna,1500,false
BDDEACCFDDEC4C90CFAD435DAAA8F0506A2084042AEE9501E4E25F5F1FDC50EB,2022-12-31 09:29:30 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1ccwgk6gvgtm556gxe0v79p48nrgsey05w3fle4,Luna Station 88,uluna,2584,uluna,3085,false
9BDE8149E2EB377C6DFBA54FADEC95236B765F6A10EADADE78F09189F6F8FC9B,2022-12-31 09:28:55 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,coinhall.org,uluna,900,uluna,250,false
9BDE8149E2EB377C6DFBA54FADEC95236B765F6A10EADADE78F09189F6F8FC9B,2022-12-31 09:28:55 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1ge3vqn6cjkk2xkfwpg5ussjwxvahs2f6at87yp,coinhall.org,uluna,200,uluna,700,false
A1D8B046EC98146A41812210D74B80FD294CAB94F3BAB518E75777D55A9376DE,2022-12-31 09:28:43 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Terran One,uluna,600,uluna,250,false
A1D8B046EC98146A41812210D74B80FD294CAB94F3BAB518E75777D55A9376DE,2022-12-31 09:28:43 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1gtw2uxdkdt3tvq790ckjz8jm8qgwkdw3uptstn,Terran One,uluna,50,uluna,550,false
C595B9E933DCF3ABD6FCD15EF29172F773E10B2A384A0A6708B673010D85A88A,2022-12-31 08:48:09 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Terran One,uluna,900,uluna,250,false
C595B9E933DCF3ABD6FCD15EF29172F773E10B2A384A0A6708B673010D85A88A,2022-12-31 08:48:09 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1gtw2uxdkdt3tvq790ckjz8jm8qgwkdw3uptstn,Terran One,uluna,200,uluna,700,false
A234EA8312A227394BB1AECAE54DBF75438D52946AC2EAD982CE17A7DEB92385,2022-12-31 08:28:28 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper13qjxhnw98lm36rxc9yjakkmulhpv7zctdhcl03,Gidorah,uluna,396,uluna,504,false
A234EA8312A227394BB1AECAE54DBF75438D52946AC2EAD982CE17A7DEB92385,2022-12-31 08:28:28 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Gidorah,uluna,900,uluna,250,false
9BDFCEF8B72901C68AF5A7025EDB90A705ABCB28DFE92E29E858FA2102D8C4F6,2022-12-31 08:10:36 -0500 EST,terra1m7ksq9y7j6hycczv2kdsy6wrplrqppesmcv5zm,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Pro-Nodes75,uluna,6275,uluna,1500,false
9BDFCEF8B72901C68AF5A7025EDB90A705ABCB28DFE92E29E858FA2102D8C4F6,2022-12-31 08:10:36 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1puzp2yjqps43x7nse33svljc550xjz35jxg432,Pro-Nodes75,uluna,1443,uluna,4832,false
19D4E6E88856D3CAB33AF7684E406BEA32E3C291B7529E94CDC327829C1FE534,2022-12-31 08:06:16 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy," polkachu.com",uluna,900,uluna,250,false
19D4E6E88856D3CAB33AF7684E406BEA32E3C291B7529E94CDC327829C1FE534,2022-12-31 08:06:16 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh," polkachu.com",uluna,4,uluna,896,false
129B7003D7A4A5DF22E36DB5BE360B5992E9C8A20330FEEAFAD3D4BCF9F39DA7,2022-12-31 08:05:40 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1ccwgk6gvgtm556gxe0v79p48nrgsey05w3fle4,Luna Station 88,uluna,50,uluna,550,false
129B7003D7A4A5DF22E36DB5BE360B5992E9C8A20330FEEAFAD3D4BCF9F39DA7,2022-12-31 08:05:40 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Luna Station 88,uluna,600,uluna,25,false
A4DC504939220E789A5B16AB067594699CEA49FA47CBD422361C5C0E559E1343,2022-12-31 08:04:58 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Orbital Command,uluna,0,uluna,0,false
A4DC504939220E789A5B16AB067594699CEA49FA47CBD422361C5C0E559E1343,2022-12-31 08:04:58 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcfs5wf,Orbital Command,uluna,0,uluna,0,false
BE1C953E9AC72E12699FB3EC6639B6F4970F388948129812DC5ED307E4A6FF9F,2022-12-31 08:03:52 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,syncnode,uluna,0,uluna,0,false
BE1C953E9AC72E12699FB3EC6639B6F4970F388948129812DC5ED307E4A6FF9F,2022-12-31 08:03:52 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1e4sju9ya52l8ndjcneut4hg52y228360j0w86r,syncnode,uluna,0,uluna,0,false
B6CA7306CD7204B881B901B809E4042C1748FCF97EB375670618410C8D7233B1,2022-12-31 07:34:27 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1ge3vqn6cjkk2xkfwpg5ussjwxvahs2f6at87yp,coinhall.org,uluna,50,uluna,550,false
